,precision,recall,f1-score,support
angry,0.6642857142857143,0.744,0.7018867924528301,250.0
fear,0.6753246753246753,0.416,0.5148514851485149,250.0
happy,0.5528455284552846,0.544,0.5483870967741935,250.0
neutral,0.5793650793650794,0.7336683417085427,0.647450110864745,199.0
sad,0.6067415730337079,0.648,0.6266924564796905,250.0
accuracy,0.6121768140116765,0.6121768140116765,0.6121768140116765,0.6121768140116765
macro avg,0.6157125140928923,0.6171336683417086,0.6078535883439947,1199.0
weighted avg,0.6172585684474532,0.6121768140116765,0.6061693325904016,1199.0
