,precision,recall,f1-score,support
angry,0.6460481099656358,0.752,0.6950092421441775,250.0
fear,0.5282258064516129,0.524,0.5261044176706827,250.0
happy,0.6422764227642277,0.632,0.6370967741935484,250.0
neutral,0.5895196506550219,0.678391959798995,0.6308411214953271,199.0
sad,0.6756756756756757,0.5,0.5747126436781609,250.0
accuracy,0.6146788990825688,0.6146788990825688,0.6146788990825688,0.6146788990825688
macro avg,0.6163491331024348,0.6172783919597989,0.6127528398363793,1199.0
weighted avg,0.6174903371097893,0.6146788990825688,0.6119834467049312,1199.0
