,precision,recall,f1-score,support
angry,0.6645569620253164,0.84,0.7420494699646644,250.0
fear,0.6866359447004609,0.596,0.6381156316916489,250.0
happy,0.6681222707423581,0.612,0.6388308977035491,250.0
neutral,0.6738197424892703,0.7889447236180904,0.7268518518518519,199.0
sad,0.7352941176470589,0.6,0.6607929515418502,250.0
accuracy,0.683069224353628,0.683069224353628,0.683069224353628,0.683069224353628
macro avg,0.6856858075208929,0.6873889447236181,0.6813281605507129,1199.0
weighted avg,0.6861905358917125,0.683069224353628,0.6793917900283124,1199.0
