,precision,recall,f1-score,support
angry,0.6023738872403561,0.812,0.6916524701873935,250.0
fear,0.5693069306930693,0.46,0.5088495575221239,250.0
happy,0.6845238095238095,0.46,0.5502392344497608,250.0
neutral,0.6195652173913043,0.5728643216080402,0.5953002610966057,199.0
sad,0.5194805194805194,0.64,0.5734767025089605,250.0
accuracy,0.5896580483736447,0.5896580483736447,0.5896580483736447,0.5896580483736447
macro avg,0.5990500728658118,0.588972864321608,0.5839036451529689,1199.0
weighted avg,0.5981774520394563,0.5896580483736447,0.5834188850085773,1199.0
