,precision,recall,f1-score,support
angry,0.7097902097902098,0.812,0.7574626865671642,250.0
fear,0.6473029045643154,0.624,0.6354378818737271,250.0
happy,0.6413043478260869,0.708,0.6730038022813688,250.0
neutral,0.7128712871287128,0.7236180904522613,0.7182044887780549,199.0
sad,0.711340206185567,0.552,0.6216216216216216,250.0
accuracy,0.6822351959966639,0.6822351959966639,0.6822351959966639,0.6822351959966639
macro avg,0.6845217910989785,0.6839236180904523,0.6811460962243874,1199.0
weighted avg,0.683315932635662,0.6822351959966639,0.6795698009614707,1199.0
