model,accuracy,macro_f1,weighted_f1
model7_ensemble,0.700583819849875,0.699041517710574,0.6979879995195427
model4_efficientnet,0.683069224353628,0.6813281605507129,0.6793917900283124
model2_cnn_bilstm_mel,0.6822351959966639,0.6811460962243874,0.6795698009614707
model6_fusion,0.6146788990825688,0.6127528398363793,0.6119834467049312
model5_resnet18,0.6121768140116765,0.6078535883439947,0.6061693325904016
model3_cnn_bilstm_mfcc,0.5896580483736447,0.5839036451529689,0.5834188850085773
